AD DisplayName,Assigned Roles,Department,Department ID,Detected Roles,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,POI Type Code,POI Type Description,Position Description Long,Squad ID,Squad Name,Username
AD DisplayName 1013,Assigned Roles 297,Department 54,Department ID 54,Detected Roles 359,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 92,Job Profile 92,Management Level 7,Manager 173,POI Type Code 0,POI Type Description 0,Position Description Long 166,Squad ID 0,Squad Name 0,d81af2cc
AD DisplayName 1014,Assigned Roles 268,Department 75,Department ID 75,Detected Roles 360,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 83,Job Profile 83,Management Level 2,Manager 174,POI Type Code 0,POI Type Description 0,Position Description Long 167,Squad ID 0,Squad Name 0,1978f443
AD DisplayName 1015,Assigned Roles 264,Department 71,Department ID 71,Detected Roles 361,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 14,Job Profile 14,Management Level 3,Manager 115,POI Type Code 0,POI Type Description 0,Position Description Long 129,Squad ID 0,Squad Name 0,35343f22
AD DisplayName 1016,Assigned Roles 264,Department 62,Department ID 62,Detected Roles 362,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 14,Job Profile 14,Management Level 3,Manager 115,POI Type Code 0,POI Type Description 0,Position Description Long 129,Squad ID 0,Squad Name 0,ffda500e
AD DisplayName 1017,Assigned Roles 247,Department 76,Department ID 76,Detected Roles 295,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 12,Job Profile 12,Management Level 3,Manager 175,POI Type Code 0,POI Type Description 0,Position Description Long 12,Squad ID 0,Squad Name 0,aa62ff72
AD DisplayName 1018,Assigned Roles 247,Department 50,Department ID 50,Detected Roles 290,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 77,Job Profile 77,Management Level 3,Manager 176,POI Type Code 0,POI Type Description 0,Position Description Long 123,Squad ID 0,Squad Name 0,8199afb7
AD DisplayName 1019,Assigned Roles 161,Department 77,Department ID 77,Detected Roles 186,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 21,Job Profile 21,Management Level 3,Manager 177,POI Type Code 0,POI Type Description 0,Position Description Long 43,Squad ID 0,Squad Name 0,1f19b05d
AD DisplayName 1020,Assigned Roles 298,Department 2,Department ID 2,Detected Roles 363,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 2,Job Profile 2,Management Level 2,Manager 2,POI Type Code 0,POI Type Description 0,Position Description Long 2,Squad ID 0,Squad Name 0,e4e098cc
AD DisplayName 1021,Assigned Roles 264,Department 10,Department ID 10,Detected Roles 307,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 44,Job Profile 44,Management Level 3,Manager 178,POI Type Code 0,POI Type Description 0,Position Description Long 58,Squad ID 0,Squad Name 0,635e4987
AD DisplayName 1022,Assigned Roles 299,Department 2,Department ID 2,Detected Roles 364,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 2,Job Profile 2,Management Level 2,Manager 20,POI Type Code 0,POI Type Description 0,Position Description Long 17,Squad ID 0,Squad Name 0,b8710ade
AD DisplayName 1023,Assigned Roles 260,Department 43,Department ID 43,Detected Roles 365,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 44,Job Profile 44,Management Level 3,Manager 179,POI Type Code 0,POI Type Description 0,Position Description Long 58,Squad ID 0,Squad Name 0,a5647e37
AD DisplayName 1024,Assigned Roles 247,Department 3,Department ID 3,Detected Roles 290,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 75,Job Profile 75,Management Level 2,Manager 152,POI Type Code 0,POI Type Description 0,Position Description Long 168,Squad ID 0,Squad Name 0,a59ca468
AD DisplayName 1025,Assigned Roles 268,Department 44,Department ID 44,Detected Roles 308,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 91,Job Profile 91,Management Level 5,Manager 164,POI Type Code 0,POI Type Description 0,Position Description Long 169,Squad ID 0,Squad Name 0,f24d36ca
AD DisplayName 1026,Assigned Roles 261,Department 67,Department ID 67,Detected Roles 366,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 44,Job Profile 44,Management Level 3,Manager 180,POI Type Code 0,POI Type Description 0,Position Description Long 58,Squad ID 0,Squad Name 0,a88d4870
AD DisplayName 1027,Assigned Roles 247,Department 12,Department ID 12,Detected Roles 337,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 14,Job Profile 14,Management Level 3,Manager 181,POI Type Code 0,POI Type Description 0,Position Description Long 129,Squad ID 0,Squad Name 0,d420b4c8
AD DisplayName 1028,Assigned Roles 252,Department 12,Department ID 12,Detected Roles 338,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 40,Job Profile 40,Management Level 3,Manager 79,POI Type Code 0,POI Type Description 0,Position Description Long 12,Squad ID 0,Squad Name 0,4c93982c
AD DisplayName 1029,Assigned Roles 247,Department 22,Department ID 22,Detected Roles 304,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 22,Job Profile 22,Management Level 2,Manager 8,POI Type Code 0,POI Type Description 0,Position Description Long 8,Squad ID 0,Squad Name 0,68693b9e
AD DisplayName 1030,Assigned Roles 262,Department 55,Department ID 55,Detected Roles 367,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 54,Job Profile 54,Management Level 2,Manager 89,POI Type Code 0,POI Type Description 0,Position Description Long 128,Squad ID 0,Squad Name 0,9343ffdc
AD DisplayName 1031,Assigned Roles 256,Department 37,Department ID 37,Detected Roles 368,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 40,Job Profile 40,Management Level 3,Manager 163,POI Type Code 0,POI Type Description 0,Position Description Long 12,Squad ID 0,Squad Name 0,4583d2b6
AD DisplayName 1032,Assigned Roles 260,Department 37,Department ID 37,Detected Roles 306,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 79,Job Profile 79,Management Level 3,Manager 59,POI Type Code 0,POI Type Description 0,Position Description Long 124,Squad ID 0,Squad Name 0,65415905
